"","ID","week","block","treatment","vol"
"1","401-1","0","OB","WM",1.05
"2","401-1","1","OB","WM",0.44
"3","401-1","2","OB","WM",0.31
"4","401-1","3","OB","WM",0.31
"5","401-1","4","OB","WM",0.36
"6","401-1","5","OB","WM",0.06
"7","401-1","6","OB","WM",0.06
"8","401-1","7","OB","WM",0.03
"9","401-1","8","OB","WM",0.02
"10","402-3","0","OB","AdLib",1.48
"11","402-3","1","OB","AdLib",0.76
"12","402-3","2","OB","AdLib",0.64
"13","402-3","3","OB","AdLib",0.52
"14","402-3","4","OB","AdLib",0.76
"15","402-3","5","OB","AdLib",0.44
"16","402-3","6","OB","AdLib",0.64
"17","402-3","7","OB","AdLib",0.27
"18","402-3","8","OB","AdLib",0.16
"19","414-1","0","OB","WM",4.82
"20","414-1","1","OB","WM",1.8
"21","414-1","2","OB","WM",1.37
"22","414-1","3","OB","WM",0.55
"23","414-1","4","OB","WM",0.41
"24","414-1","5","OB","WM",0.69
"25","414-1","6","OB","WM",0.97
"26","414-1","7","OB","WM",0.86
"27","414-1","8","OB","WM",0.5
"28","414-2","0","OB","WM",0
"29","414-2","1","OB","WM",0
"30","414-2","2","OB","WM",0
"31","414-2","3","OB","WM",0
"32","414-2","4","OB","WM",0
"33","414-2","5","OB","WM",0
"34","414-2","6","OB","WM",0
"35","414-2","7","OB","WM",0
"36","414-2","8","OB","WM",0
"37","416-1","0","L","WM",5.33
"38","416-1","1","L","WM",4
"39","416-1","2","L","WM",1.05
"40","416-1","3","L","WM",1.2
"41","416-1","4","L","WM",0.43
"42","416-1","5","L","WM",0.38
"43","416-1","6","L","WM",0.18
"44","416-1","7","L","WM",0.22
"45","416-1","8","L","WM",0.33
"46","416-2","0","L","WM",0.44
"47","416-2","1","L","WM",1
"48","416-2","2","L","WM",0.24
"49","416-2","3","L","WM",0.3
"50","416-2","4","L","WM",0.01
"51","416-2","5","L","WM",0
"52","416-2","6","L","WM",0
"53","416-2","7","L","WM",0
"54","416-2","8","L","WM",0
"55","416-3","0","L","WM",0.22
"56","416-3","1","L","WM",0
"57","416-3","2","L","WM",0
"58","416-3","3","L","WM",0
"59","416-3","4","L","WM",0
"60","416-3","5","L","WM",0
"61","416-3","6","L","WM",0
"62","416-3","7","L","WM",0
"63","416-3","8","L","WM",0
"64","417-1","0","OB","WM",1.71
"65","417-1","1","OB","WM",1.43
"66","417-1","2","OB","WM",2.18
"67","417-1","3","OB","WM",1.81
"68","417-1","4","OB","WM",1.75
"69","417-1","5","OB","WM",2.7
"70","417-1","6","OB","WM",1.98
"71","417-1","7","OB","WM",1.87
"72","417-1","8","OB","WM",1.58
"73","417-2","0","OB","WM",0.23
"74","417-2","1","OB","WM",0.06
"75","417-2","2","OB","WM",0.18
"76","417-2","3","OB","WM",0.16
"77","417-2","4","OB","WM",0.18
"78","417-2","5","OB","WM",0.19
"79","417-2","6","OB","WM",0.1
"80","417-2","7","OB","WM",0.05
"81","417-2","8","OB","WM",0.06
"82","417-4","0","OB","WM",0
"83","417-4","1","OB","WM",0
"84","417-4","2","OB","WM",0
"85","417-4","3","OB","WM",0
"86","417-4","4","OB","WM",0
"87","417-4","5","OB","WM",0
"88","417-4","6","OB","WM",0
"89","417-4","7","OB","WM",0
"90","417-4","8","OB","WM",0
"91","418-1","0","OB","WM",0.56
"92","418-1","1","OB","WM",0.39
"93","418-1","2","OB","WM",0.24
"94","418-1","3","OB","WM",0.02
"95","418-1","4","OB","WM",0.19
"96","418-1","5","OB","WM",0
"97","418-1","6","OB","WM",0
"98","418-1","7","OB","WM",0
"99","418-1","8","OB","WM",0
"100","418-2","0","OB","WM",0.36
"101","418-2","1","OB","WM",0.3
"102","418-2","2","OB","WM",0.22
"103","418-2","3","OB","WM",0.3
"104","418-2","4","OB","WM",0.24
"105","418-2","5","OB","WM",0.29
"106","418-2","6","OB","WM",0.25
"107","418-2","7","OB","WM",0.26
"108","418-2","8","OB","WM",0.3
"109","424-1","0","L","AdLib",1.62
"110","424-1","1","L","AdLib",0.77
"111","424-1","2","L","AdLib",0.5
"112","424-1","3","L","AdLib",0.19
"113","424-1","4","L","AdLib",0.2
"114","424-1","5","L","AdLib",0.14
"115","424-1","6","L","AdLib",0.17
"116","424-1","7","L","AdLib",0.14
"117","424-1","8","L","AdLib",0.19
"118","424-2","0","L","AdLib",2.26
"119","424-2","1","L","AdLib",2.57
"120","424-2","2","L","AdLib",1.15
"121","424-2","3","L","AdLib",0.42
"122","424-2","4","L","AdLib",0.57
