"","ID","week","tumor_vol","block","treat"
"1","401-1",0,1.05,"OB","WM"
"2","401-1",1,0.44,"OB","WM"
"3","401-1",2,0.31,"OB","WM"
"4","401-1",3,0.31,"OB","WM"
"5","401-1",4,0.36,"OB","WM"
"6","401-1",5,0.06,"OB","WM"
"7","401-1",6,0.06,"OB","WM"
"8","401-1",7,0.03,"OB","WM"
"9","401-1",8,0.02,"OB","WM"
"10","402-3",0,1.48,"OB","AdLib"
"11","402-3",1,0.76,"OB","AdLib"
"12","402-3",2,0.64,"OB","AdLib"
"13","402-3",3,0.52,"OB","AdLib"
"14","402-3",4,0.76,"OB","AdLib"
"15","402-3",5,0.44,"OB","AdLib"
"16","402-3",6,0.64,"OB","AdLib"
"17","402-3",7,0.27,"OB","AdLib"
"18","402-3",8,0.16,"OB","AdLib"
"19","414-1",0,4.82,"OB","WM"
"20","414-1",1,1.8,"OB","WM"
"21","414-1",2,1.37,"OB","WM"
"22","414-1",3,0.55,"OB","WM"
"23","414-1",4,0.41,"OB","WM"
"24","414-1",5,0.69,"OB","WM"
"25","414-1",6,0.97,"OB","WM"
"26","414-1",7,0.86,"OB","WM"
"27","414-1",8,0.5,"OB","WM"
"28","414-2",0,0,"OB","WM"
"29","414-2",1,0,"OB","WM"
"30","414-2",2,0,"OB","WM"
"31","414-2",3,0,"OB","WM"
"32","414-2",4,0,"OB","WM"
"33","414-2",5,0,"OB","WM"
"34","414-2",6,0,"OB","WM"
"35","414-2",7,0,"OB","WM"
"36","414-2",8,0,"OB","WM"
"37","416-1",0,5.33,"L","WM"
"38","416-1",1,4,"L","WM"
"39","416-1",2,1.05,"L","WM"
"40","416-1",3,1.2,"L","WM"
"41","416-1",4,0.43,"L","WM"
"42","416-1",5,0.38,"L","WM"
"43","416-1",6,0.18,"L","WM"
"44","416-1",7,0.22,"L","WM"
"45","416-1",8,0.33,"L","WM"
"46","416-2",0,0.44,"L","WM"
"47","416-2",1,1,"L","WM"
"48","416-2",2,0.24,"L","WM"
"49","416-2",3,0.3,"L","WM"
"50","416-2",4,0.01,"L","WM"
"51","416-2",5,0,"L","WM"
"52","416-2",6,0,"L","WM"
"53","416-2",7,0,"L","WM"
"54","416-2",8,0,"L","WM"
"55","416-3",0,0.22,"L","WM"
"56","416-3",1,0,"L","WM"
"57","416-3",2,0,"L","WM"
"58","416-3",3,0,"L","WM"
"59","416-3",4,0,"L","WM"
"60","416-3",5,0,"L","WM"
"61","416-3",6,0,"L","WM"
"62","416-3",7,0,"L","WM"
"63","416-3",8,0,"L","WM"
"64","417-1",0,1.71,"OB","WM"
"65","417-1",1,1.43,"OB","WM"
"66","417-1",2,2.18,"OB","WM"
"67","417-1",3,1.81,"OB","WM"
"68","417-1",4,1.75,"OB","WM"
"69","417-1",5,2.7,"OB","WM"
"70","417-1",6,1.98,"OB","WM"
"71","417-1",7,1.87,"OB","WM"
"72","417-1",8,1.58,"OB","WM"
"73","417-2",0,0.23,"OB","WM"
"74","417-2",1,0.06,"OB","WM"
"75","417-2",2,0.18,"OB","WM"
"76","417-2",3,0.16,"OB","WM"
"77","417-2",4,0.18,"OB","WM"
"78","417-2",5,0.19,"OB","WM"
"79","417-2",6,0.1,"OB","WM"
"80","417-2",7,0.05,"OB","WM"
"81","417-2",8,0.06,"OB","WM"
"82","417-4",0,0,"OB","WM"
"83","417-4",1,0,"OB","WM"
"84","417-4",2,0,"OB","WM"
"85","417-4",3,0,"OB","WM"
"86","417-4",4,0,"OB","WM"
"87","417-4",5,0,"OB","WM"
"88","417-4",6,0,"OB","WM"
"89","417-4",7,0,"OB","WM"
"90","417-4",8,0,"OB","WM"
"91","418-1",0,0.56,"OB","WM"
"92","418-1",1,0.39,"OB","WM"
"93","418-1",2,0.24,"OB","WM"
"94","418-1",3,0.02,"OB","WM"
"95","418-1",4,0.19,"OB","WM"
"96","418-1",5,0,"OB","WM"
"97","418-1",6,0,"OB","WM"
"98","418-1",7,0,"OB","WM"
"99","418-1",8,0,"OB","WM"
"100","418-2",0,0.36,"OB","WM"
"101","418-2",1,0.3,"OB","WM"
"102","418-2",2,0.22,"OB","WM"
"103","418-2",3,0.3,"OB","WM"
"104","418-2",4,0.24,"OB","WM"
"105","418-2",5,0.29,"OB","WM"
"106","418-2",6,0.25,"OB","WM"
"107","418-2",7,0.26,"OB","WM"
"108","418-2",8,0.3,"OB","WM"
"109","424-1",0,1.62,"L","AdLib"
"110","424-1",1,0.77,"L","AdLib"
"111","424-1",2,0.5,"L","AdLib"
"112","424-1",3,0.19,"L","AdLib"
"113","424-1",4,0.2,"L","AdLib"
"114","424-1",5,0.14,"L","AdLib"
"115","424-1",6,0.17,"L","AdLib"
"116","424-1",7,0.14,"L","AdLib"
"117","424-1",8,0.19,"L","AdLib"
"118","424-2",0,2.26,"L","AdLib"
"119","424-2",1,2.57,"L","AdLib"
"120","424-2",2,1.15,"L","AdLib"
"121","424-2",3,0.42,"L","AdLib"
"122","424-2",4,0.57,"L","AdLib"
"123","424-2",5,0.31,"L","AdLib"
"124","424-2",6,0.12,"L","AdLib"
"125","424-2",7,0.06,"L","AdLib"
"126","424-2",8,0.05,"L","AdLib"
"127","424-3",0,0,"L","AdLib"
"128","424-3",1,0.08,"L","AdLib"
"129","424-3",2,0.12,"L","AdLib"
"130","424-3",3,0.17,"L","AdLib"
"131","424-3",4,0.14,"L","AdLib"
"132","424-3",5,0.17,"L","AdLib"
"133","424-3",6,0.3,"L","AdLib"
"134","424-3",7,0.17,"L","AdLib"
"135","424-3",8,0,"L","AdLib"
"136","434-1",0,1.37,"OB","AdLib"
"137","434-1",1,1.22,"OB","AdLib"
"138","434-1",2,1.25,"OB","AdLib"
"139","434-1",3,0.57,"OB","AdLib"
"140","434-1",4,0.63,"OB","AdLib"
"141","434-1",5,0.39,"OB","AdLib"
"142","434-1",6,0.31,"OB","AdLib"
"143","434-1",7,0.34,"OB","AdLib"
"144","434-1",8,0.18,"OB","AdLib"
"145","434-4",0,0,"OB","AdLib"
"146","434-4",1,0.1,"OB","AdLib"
"147","434-4",2,0.01,"OB","AdLib"
"148","434-4",3,0,"OB","AdLib"
"149","434-4",4,0,"OB","AdLib"
"150","434-4",5,0,"OB","AdLib"
"151","434-4",6,0,"OB","AdLib"
"152","434-4",7,0,"OB","AdLib"
"153","434-4",8,0,"OB","AdLib"
"154","436-1",0,0.96,"OB","WM"
"155","436-1",1,0.36,"OB","WM"
"156","436-1",2,0.54,"OB","WM"
"157","436-1",3,0.26,"OB","WM"
"158","436-1",4,0.13,"OB","WM"
"159","436-1",5,0.09,"OB","WM"
"160","436-1",6,0.09,"OB","WM"
"161","436-1",7,0.12,"OB","WM"
"162","436-1",8,0.09,"OB","WM"
"163","436-2",0,0.26,"OB","WM"
"164","436-2",1,0.09,"OB","WM"
"165","436-2",2,0.24,"OB","WM"
"166","436-2",3,0.18,"OB","WM"
"167","436-2",4,0.17,"OB","WM"
"168","436-2",5,0.12,"OB","WM"
"169","436-2",6,0.12,"OB","WM"
"170","436-2",7,0.11,"OB","WM"
"171","436-2",8,0.15,"OB","WM"
"172","439-1",0,1.12,"OB","WM"
"173","439-1",1,0.65,"OB","WM"
"174","439-1",2,0.11,"OB","WM"
"175","439-1",3,0.2,"OB","WM"
"176","439-1",4,0.07,"OB","WM"
"177","439-1",5,0.11,"OB","WM"
"178","439-1",6,0.12,"OB","WM"
"179","439-1",7,0.13,"OB","WM"
"180","439-1",8,0.04,"OB","WM"
"181","439-2",0,0.23,"OB","WM"
"182","439-2",1,0.05,"OB","WM"
"183","439-2",2,0.02,"OB","WM"
"184","439-2",3,0,"OB","WM"
"185","439-2",4,0,"OB","WM"
"186","439-2",5,0,"OB","WM"
"187","439-2",6,0,"OB","WM"
"188","439-2",7,0,"OB","WM"
"189","439-2",8,0,"OB","WM"
"190","441-1",0,2.79,"L","AdLib"
"191","441-1",1,2.61,"L","AdLib"
"192","441-1",2,1.21,"L","AdLib"
"193","441-1",3,1.11,"L","AdLib"
"194","441-1",4,1.11,"L","AdLib"
"195","441-1",5,0.86,"L","AdLib"
"196","441-1",6,1.04,"L","AdLib"
"197","441-1",7,1.68,"L","AdLib"
"198","441-1",8,2.5,"L","AdLib"
"199","445-1",0,0.09,"L","WM"
"200","445-1",1,0.01,"L","WM"
"201","445-1",2,0.01,"L","WM"
"202","445-1",3,0,"L","WM"
"203","445-1",4,0,"L","WM"
"204","445-1",5,0,"L","WM"
"205","445-1",6,0.01,"L","WM"
"206","445-1",7,0.01,"L","WM"
"207","445-2",0,0.16,"L","WM"
"208","445-2",1,0.01,"L","WM"
"209","445-2",2,0.01,"L","WM"
"210","445-2",3,0,"L","WM"
"211","445-2",4,0,"L","WM"
"212","445-2",5,0,"L","WM"
"213","445-2",6,0,"L","WM"
"214","445-2",7,0,"L","WM"
"215","445-3",0,0.03,"L","WM"
"216","445-3",1,0,"L","WM"
"217","445-3",2,0,"L","WM"
"218","445-3",3,0,"L","WM"
"219","445-3",4,0,"L","WM"
"220","445-3",5,0,"L","WM"
"221","445-3",6,0,"L","WM"
"222","445-3",7,0,"L","WM"
"223","445-4",0,2.35,"L","WM"
"224","445-4",1,0.85,"L","WM"
"225","445-4",2,0.36,"L","WM"
"226","445-4",3,0.44,"L","WM"
"227","445-4",4,0.27,"L","WM"
"228","445-4",5,0.55,"L","WM"
"229","445-4",6,0.72,"L","WM"
"230","445-4",7,2.41,"L","WM"
"231","445-5",0,2.56,"L","WM"
"232","445-5",1,2.22,"L","WM"
"233","445-5",2,0.6,"L","WM"
"234","445-5",3,0.39,"L","WM"
"235","445-5",4,0.44,"L","WM"
"236","445-5",5,0.27,"L","WM"
"237","445-5",6,0.38,"L","WM"
"238","445-5",7,0.71,"L","WM"
"239","451-2",0,0.38,"OB","WM"
"240","451-2",1,0.37,"OB","WM"
"241","451-2",2,0.35,"OB","WM"
"242","451-3",0,1.06,"OB","WM"
"243","451-3",1,0.36,"OB","WM"
"244","451-3",2,0.39,"OB","WM"
"245","451-4",0,0.17,"OB","WM"
"246","451-4",1,0.2,"OB","WM"
"247","451-4",2,0.21,"OB","WM"
"248","453-1",0,1.87,"OB","AdLib"
"249","453-1",1,0.92,"OB","AdLib"
"250","453-1",2,0.34,"OB","AdLib"
"251","453-1",3,0.4,"OB","AdLib"
"252","453-1",4,0.25,"OB","AdLib"
"253","453-1",5,0.03,"OB","AdLib"
"254","453-1",6,0.24,"OB","AdLib"
"255","453-1",7,0.19,"OB","AdLib"
"256","453-1",8,0.24,"OB","AdLib"
"257","453-2",0,0,"OB","AdLib"
"258","453-2",1,3.16,"OB","AdLib"
"259","453-2",2,2.18,"OB","AdLib"
"260","453-2",3,1.14,"OB","AdLib"
"261","453-2",4,0.95,"OB","AdLib"
"262","453-2",5,1,"OB","AdLib"
"263","453-2",6,1.17,"OB","AdLib"
"264","453-2",7,0.95,"OB","AdLib"
"265","453-2",8,0.64,"OB","AdLib"
"266","455-1",0,1.96,"OB","AdLib"
"267","455-1",1,2.29,"OB","AdLib"
"268","455-1",2,2.16,"OB","AdLib"
"269","455-1",3,2.36,"OB","AdLib"
"270","455-1",4,2.23,"OB","AdLib"
"271","455-1",5,1.99,"OB","AdLib"
"272","455-1",6,1.99,"OB","AdLib"
"273","455-1",7,2.49,"OB","AdLib"
"274","455-1",8,1.76,"OB","AdLib"
"275","466-1",0,0.53,"L","AdLib"
"276","466-1",1,0.16,"L","AdLib"
"277","466-1",2,0.11,"L","AdLib"
"278","466-1",3,0.07,"L","AdLib"
"279","466-1",4,0.02,"L","AdLib"
"280","466-1",5,0.02,"L","AdLib"
"281","466-1",6,0.01,"L","AdLib"
"282","466-3",0,2.77,"L","AdLib"
"283","466-3",1,2.43,"L","AdLib"
"284","466-3",2,0.48,"L","AdLib"
"285","466-3",3,0.48,"L","AdLib"
"286","466-3",4,0.4,"L","AdLib"
"287","466-3",5,0.26,"L","AdLib"
"288","466-3",6,0.17,"L","AdLib"
"289","467-1",0,2.69,"OB","WM"
"290","467-1",1,1.79,"OB","WM"
"291","467-1",2,1.27,"OB","WM"
"292","467-1",3,0.73,"OB","WM"
"293","467-1",4,0.51,"OB","WM"
"294","467-1",5,0.38,"OB","WM"
"295","467-1",6,0.22,"OB","WM"
"296","467-1",7,0.33,"OB","WM"
"297","467-2",0,0.91,"OB","WM"
"298","467-2",1,0.56,"OB","WM"
"299","467-2",2,0.66,"OB","WM"
"300","467-2",3,0.38,"OB","WM"
"301","467-2",4,0.31,"OB","WM"
"302","467-2",5,0.44,"OB","WM"
"303","467-2",6,0.32,"OB","WM"
"304","467-2",7,0.36,"OB","WM"
"305","473-1",0,0.39,"OB","AdLib"
"306","473-1",1,0.2,"OB","AdLib"
"307","473-1",2,0.24,"OB","AdLib"
"308","473-1",3,0.1,"OB","AdLib"
"309","473-1",4,0.11,"OB","AdLib"
"310","473-1",5,0.07,"OB","AdLib"
"311","473-1",6,0.03,"OB","AdLib"
"312","473-1",7,0.05,"OB","AdLib"
"313","473-1",8,0,"OB","AdLib"
"314","480-1",0,1.36,"L","AdLib"
"315","480-1",1,1.3,"L","AdLib"
"316","480-1",2,1.32,"L","AdLib"
"317","480-1",3,0.4,"L","AdLib"
"318","480-1",4,0.33,"L","AdLib"
"319","480-1",5,0.33,"L","AdLib"
"320","480-1",6,0.28,"L","AdLib"
"321","480-1",7,0.39,"L","AdLib"
"322","480-1",8,0.17,"L","AdLib"
"323","481-1",0,0.23,"OB","WM"
"324","481-1",1,0.16,"OB","WM"
"325","481-1",2,0.07,"OB","WM"
"326","481-1",3,0,"OB","WM"
"327","481-1",4,0,"OB","WM"
"328","481-1",5,0,"OB","WM"
"329","481-1",6,0,"OB","WM"
"330","481-1",7,0,"OB","WM"
"331","481-1",8,0,"OB","WM"
"332","481-2",0,0.94,"OB","WM"
"333","481-2",1,0.48,"OB","WM"
"334","481-2",2,0.29,"OB","WM"
"335","481-2",3,0.31,"OB","WM"
"336","481-2",4,0.61,"OB","WM"
"337","481-2",5,0.34,"OB","WM"
"338","481-2",6,0.68,"OB","WM"
"339","481-2",7,1.53,"OB","WM"
